,label(proba_1>=0.100000),proba_0,proba_1
sp|A0A067CMC7|HTP3_SAPPC Endonuclease Htp3 OS=Saprolegnia parasitica (strain CBS 223.65) OX=695850 GN=HTP3 PE=1 SV=1,1.0,0.75,0.25
sp|A0A075F7E9|LERK1_ORYSI G-type lectin S-receptor-like serine/threonine-protein kinase LECRK1 OS=Oryza sativa subsp. indica OX=39946 GN=LECRK1 PE=1 SV=2,1.0,0.6875,0.3125
"sp|A0A096P8D3|IDH_OSTTA Isocitrate dehydrogenase (NAD(+)), mitochondrial OS=Ostreococcus tauri OX=70448 GN=IDH PE=1 SV=1",1.0,0.75,0.25
sp|A0A0A7HFE1|CAS10_STRTR CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A) OS=Streptococcus thermophilus OX=1308 GN=cas10 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A0A0B4K692|NEP2_DROME Neprilysin-2 OS=Drosophila melanogaster OX=7227 GN=Nep2 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A0B4K7J2|RBP2_DROME E3 SUMO-protein ligase RanBP2 OS=Drosophila melanogaster OX=7227 GN=Nup358 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A0A0C6DRW4|DSZC1_RHOER Dibenzothiophene monooxygenase OS=Rhodococcus erythropolis OX=1833 GN=dszC PE=1 SV=1,1.0,0.75,0.25
sp|A0A0D1E015|UPA1_USTMA FYVE zinc finger domain protein UPA1 OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=UPA1 PE=1 SV=1,1.0,0.1,0.9
sp|A0A0G2JXN2|TRI46_RAT Tripartite motif-containing protein 46 OS=Rattus norvegicus OX=10116 GN=Trim46 PE=1 SV=2,1.0,0.1,0.9
sp|A0A0G2K2P5|ZO1_RAT Tight junction protein ZO-1 OS=Rattus norvegicus OX=10116 GN=Tjp1 PE=1 SV=1,1.0,0.125,0.875
"sp|A0A0G2K344|PK3CA_RAT Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Rattus norvegicus OX=10116 GN=Pik3ca PE=1 SV=1",1.0,0.1,0.9
sp|A0A0H2URJ6|GLYE_STRPN Glycosyltransferase GlyE OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyE PE=1 SV=1,1.0,0.5,0.5
sp|A0A0H2ZMF9|PBP2A_STRP2 Penicillin-binding protein 2a OS=Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466) OX=373153 GN=pbp2a PE=1 SV=1,1.0,0.5,0.5
